SL. Number,Number of Cycles,Stress (MPa),Solution Temperature (°C),Solution Time (hrs),Temperature Measurement (°C),Ann/Age. temp (cel),Ann/age time (hrs),Total Strain (%),R,Frequency (Hz),Ti,Al,V,C,N,O,H,Fe,Si,Sn,Nb,Mo,Zr,PI Fatigue Life
133,100000,650,1050,0.25,25,500,24,0,-1,80,89.41,6.4,4,0,0,0.19,0,0,0,0,0,0,0,50830.57237
145,505165,500.71,970,0.5,350,700,0.5,2,-1,5,89.34,6.22,4.01,0.02,0.01,0.2,0.001,0.2,0,0,0,0,0,637896.1779
156,1000000,400,932,0,25,704,2,0,-1,60,89.148,6.27,4.19,0,0.012,0.18,0,0.2,0,0,0,0,0,5626651.281
148,566076,429.523,970,0.5,250,700,0.5,2,-1,5,89.34,6.22,4.01,0.02,0.01,0.2,0.001,0.2,0,0,0,0,0,2821223.547
150,600610,429.71,970,0.5,350,700,0.5,2,-1,5,89.34,6.22,4.01,0.02,0.01,0.2,0.001,0.2,0,0,0,0,0,2809473.888
182,5344083,404.28,970,0.5,25,700,0.5,2,-1,5,89.34,6.22,4.01,0.02,0.01,0.2,0.001,0.2,0,0,0,0,0,5075016.984
187,10000000,390,932,0,25,704,2,0,-1,60,89.148,6.27,4.19,0,0.012,0.18,0,0.2,0,0,0,0,0,7191384.34
186,10000000,373.467,970,0.5,25,700,0.5,2,-1,5,89.34,6.22,4.01,0.02,0.01,0.2,0.001,0.2,0,0,0,0,0,10945862.79
120,100000,675,0,0,25,0,0,0,-1,30,84.69,5.8,0,0.05,0.0025,0.105,0.004,0.009,0.34,4,0.69,0.54,3.72,35252.30346
177,2683559,853.92,970,0.5,25,700,0.5,2,-1,5,89.34,6.22,4.01,0.02,0.01,0.2,0.001,0.2,0,0,0,0,0,137009.285
175,1834944,901.85,970,0.5,25,700,0.5,2,-1,5,89.34,6.22,4.01,0.02,0.01,0.2,0.001,0.2,0,0,0,0,0,72287.3826
169,1000000,630,1050,0.25,25,500,24,0,-1,80,89.41,6.4,4,0,0,0.19,0,0,0,0,0,0,0,4819477.976
178,3589513,672.47,970,0.5,25,700,0.5,2,-1,5,89.34,6.22,4.01,0.02,0.01,0.2,0.001,0.2,0,0,0,0,0,2245497.108
193,10000000,520,0,0,25,0,0,0,-1,20000,89.31,6.29,4.11,0.08,0.03,0.13,0,0.05,0,0,0,0,0,45570888.9
202,10000000,620,1050,0.25,25,500,24,0,-1,80,89.41,6.4,4,0,0,0.19,0,0,0,0,0,0,0,5812661.064
180,4740000,540,0,0,25,0,0,0,-1,20000,89.31,6.29,4.11,0.08,0.03,0.13,0,0.05,0,0,0,0,0,29296281.5
216,100000000,500,0,0,25,0,0,0,-1,30,84.69,5.8,0,0.05,0.0025,0.105,0.004,0.009,0.34,4,0.69,0.54,3.72,72131506.05
184,10000000,500,0,0,25,0,0,0,-1,30,84.69,5.8,0,0.05,0.0025,0.105,0.004,0.009,0.34,4,0.69,0.54,3.72,72131506.05
179,4185837,556.063,970,0.5,25,700,0.5,2,-1,5,89.34,6.22,4.01,0.02,0.01,0.2,0.001,0.2,0,0,0,0,0,20784998.62
222,185000000,500,0,0,25,0,0,0,-1,20000,89.31,6.29,4.11,0.08,0.03,0.13,0,0.05,0,0,0,0,0,72131506.05
80,778,937.205,1020,1,25,700,2,1.25,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7,1369.107344
77,757,947.974,1020,1,25,700,2,1.25,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7,1122.987701
72,705,965.078,1020,1,25,700,2,1.25,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7,823.4268041
